date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
01 12 17,460.41,460.82,460.27,460.80,11 358 521 453.3,4 479 861 988 210,1 812,7.55
04 12 17,461.14,461.14,460.59,460.74,16 907 872 488.1,4 479 274 780 480,1 808,7.56
05 12 17,460.83,461.31,460.54,461.31,12 801 033 939.1,4 484 771 388 680,1 808,7.54
06 12 17,461.23,461.54,460.61,461.44,10 909 109 222.6,4 486 043 062 430,1 807,7.54
07 12 17,461.67,461.82,461.48,461.81,7 895 501 587.96,4 489 651 149 850,1 806,7.53
08 12 17,461.87,462.12,461.87,462.03,5 344 621 741.09,4 491 797 428 590,1 805,7.52
11 12 17,462.60,462.60,462.08,462.38,4 891 006 022.32,4 495 206 511 000,1 802,7.52
12 12 17,462.43,462.72,462.24,462.64,17 975 120 295.9,4 497 781 865 910,1 802,7.51
13 12 17,462.68,462.73,462.24,462.46,8 833 427 364.29,4 496 031 188 530,1 805,7.52
14 12 17,462.58,462.86,462.53,462.70,13 406 858 131.9,4 480 324 261 230,1 804,7.51
15 12 17,462.80,463.74,462.61,463.72,11 085 522 661.7,4 490 192 971 800,1 804,7.47
18 12 17,463.98,464.46,463.76,464.19,16 330 325 737.1,4 494 777 321 750,1 801,7.46
19 12 17,464.23,464.80,464.12,464.48,19 269 023 940.7,4 497 622 308 880,1 800,7.45
20 12 17,464.56,465.18,464.55,465.15,21 412 565 298.8,4 604 761 077 500,1 804,7.42
21 12 17,465.25,465.62,465.17,465.33,15 360 526 180.9,4 606 535 456 910,1 803,7.42
22 12 17,465.63,465.86,465.34,465.38,13 530 355 768.4,4 607 030 244 930,1 800,7.42
25 12 17,465.55,466.07,465.51,465.93,3 861 358 847.18,4 612 426 215 030,1 798,7.40
26 12 17,466.03,466.17,465.84,465.93,13 069 551 358.4,4 612 423 331 080,1 797,7.41
27 12 17,466.04,466.71,465.85,466.04,27 651 695 229.9,4 613 482 013 360,1 796,7.41
28 12 17,466.12,466.72,465.84,466.24,17 234 690 668.9,4 615 485 962 910,1 795,7.40
29 12 17,466.38,467.14,466.38,466.49,4 924 506 264.69,4 618 008 850 030,1 795,7.40
03 01 18,467.14,467.85,467.08,467.85,24 771 675.11,4 631 497 074 480,1 791,7.35
04 01 18,468.22,468.40,467.58,468.40,33 462 603.15,4 636 967 022 450,1 791,7.33
