BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,10.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1732,89","1732,65","1747,56","1723,30","30034822699,00"
SNDX,IMOEX,11.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1720,31","1732,90","1732,91","1711,81","27222724797,00"
SNDX,IMOEX,14.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1708,70","1720,37","1721,48","1698,90","36354674094,00"
SNDX,IMOEX,15.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1742,46","1708,89","1749,52","1708,89","35264056024,00"
SNDX,IMOEX,16.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1754,71","1743,03","1759,09","1743,03","27528361110,00"
SNDX,IMOEX,17.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1780,97","1754,74","1786,18","1754,74","41887265524,00"
SNDX,IMOEX,18.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1719,16","1779,42","1779,42","1719,16","43830949583,00"
SNDX,IMOEX,21.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1716,91","1719,44","1737,12","1710,32","27784033639,00"
SNDX,IMOEX,22.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1723,35","1716,92","1729,08","1715,00","20336931490,00"
SNDX,IMOEX,23.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1747,85","1718,65","1747,85","1718,65","27157609995,00"
SNDX,IMOEX,24.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1742,71","1747,86","1757,50","1738,72","23442337367,00"
SNDX,IMOEX,25.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1734,21","1743,77","1745,96","1728,27","10322254757,00"
SNDX,IMOEX,28.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1731,20","1734,21","1736,19","1722,90","12979267170,00"
SNDX,IMOEX,29.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1763,38","1728,23","1763,38","1727,05","22416969693,00"
SNDX,IMOEX,30.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1761,36","1763,71","1770,79","1751,37","24135459615,00"
SNDX,IMOEX,04.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1734,56","1761,42","1762,78","1731,40","15184059638,00"
SNDX,IMOEX,05.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1754,13","1734,55","1754,33","1731,63","18096848155,00"
